,Course Code,Course Title,Description,Curriculum Category
92,CLM7158,Digital Communications in Conservation Training Workshop,"Learn how to create compelling content that tells our FWS story and deliver it to our audience where they live—in the digital world. The Digital Communications in Conservation Training Workshop is the place to discover the latest trends and tools in digital content creation and delivery for the Service. Subject-matter experts will share their best techniques and strategies for creating captivating, memorable, and shareable content. The Service will be launching a Content Management System for the web and a new Digital Asset Management system. Learn how you can take advantage of these new platforms to make your digital job easier. Don’t miss this opportunity to network and collaborate with others in the Service who are meeting the challenge of the digital age.  OBJECTIVES:  Upon completion of this workshop, participants will be able to:  Create written and visual content for the web and social media platforms that tells our FWS story. Transition to the new Content Management System used to create FWS web pages. Receive an update on the status of efforts to plan and implement a new Digital Asset Management system to store and retrieve digital content. Engage with your social media audience more effectively, and nurture and build your online community. Measure the effectiveness of your communications to ensure you’re giving our audience what they crave.  TARGET AUDIENCE:  This workshop is intended for FWS employees who are actively involved in developing and delivering communications to the public via social media and creating and maintaining web pages.",Communications
93,SAF4102,MOCC - Motorboat Operator Certification Course,"NOTE:The Motorboat Operator Certification Course is scheduled through the Regional Watercraft Safety Coordinators. Checkhttp://nctc.fws.gov/mocc for class dates/locations and the contact person for your region.  DO NOT SUBMIT AN APPLICATION THROUGH DOI LEARN FOR THIS COURSE Course : This course gives participants the training required to permit operation of Service-owned watercraft. It reviews minimum requirements for safeoperation of motorboats and includes a review of legal requirements, preparations, navigation, operations, emergency procedures, rescue, selfrescue, trailering, fire suppression and basic seamanship. The course includes both classroom and on-the-water instruction. There is an on-the-water practical exam during which the student must demonstrate certain skills to pass as well as a written exam with a passing grade of 70required. Objectives: The objectives of the MOCC are to: Provide attendees with specific skills and knowledge that will allow them to make an informed decision about their own safety, the safety ofany crew member, as well as the safety of the vesselFamiliarize attendees with state-of-the-art watercraft safety equipment and other gear, through demonstration and actual use;Allow attendees to demonstrate, through written examination and physical demonstration, that they have adequate grasp of motorboathandling techniques and knowledge to safely operate a motorboat in a normal work environment.",Safety and Emergency Response
94,SAF4101/USGS-SAF-MOICC,Motorboat Operator Instructor (MOICC) Certification,"Requires prerequisite of DOI's MOCC, or equivalent course approved by the Bureau's National Watercraft Safety Lead. MOICC Information: http://nctc.fws.gov/mocc Course : The MOICC is targeted toward experienced motorboat operators who have completed the Motorboat Operator Certification Course (MOCC) or approved equivalent. Since the primary objective is to qualify individuals to present MOCC training to other DOI personnel, the course stresses instructional techniques and presentations. After successfully completing the course, attendees are expected to participate in teaching one MOCCs per year in coordination with an experienced group of instructors from their Region.  Course Objectives: MOICC objectives are to:  Train personnel in instructional techniques and presentations and qualify them to serve as MOCC instructors. Review with attendees, classroom and on-the-water requirements of the MOCC, emphasizing instructional goals and objectives. Familiarize attendees with how to safety and efficiently conduct the training.",Safety and Emergency Response
95,CSP2220,Fish Identification,"The purpose of this course is to develop participants' fish identification skills and knowledge of freshwater fish species. Participants learn an overallsystem for identifying fish, including collection labeling and preservation, sample processing, use of distribution maps, use of dichotomous keys,and taxonomic procedures (e.g., counting scales and rays, extracting and counting pharyngeal teeth). Course location will determine regionalfreshwater fish that are emphasized (cyprinids and percids at the NCTC); however, specimens from nearly all North American freshwater fishfamilies will be available for study. This course is 'hands on' and lab- intensive. Field exercises provide fresh specimens for identification. EFISH -Fishes of Virginia - The Virtual Aquarium  This class is available for 3 hours of Graduate credit through West Virginia University. The graduate credit option is considerably more rigorous andincludes both pre and post course work (readings, writing papers and taking an examination).Objectives:Correctly identify unknown fish by following the methods described in the courseUse proper fish-collection labeling and preservation techniquesDiscuss the benefits of using a combination of reference sources for fish identificationUse distributional maps as an aid to fish identificationEmploy dichotomous keysDiscuss identification tricks-of-the-tradeCorrectly obtain morphometric information needed for fish identificationTarget Audience:Anyone needing fish identification skills",Aquatic Species Biology and Conservation
96,CSP3111,Natural Resource Damage Assessment & Restoration (NRDAR),"This course emphasizes the Natural Resource Damage Assessment and Restoration (NRDAR) process for both the ComprehensiveEnvironmental Response, Compensation, and Liability Act (CERCLA) and the Oil Pollution Act (OPA). The course includes practical exercises andis intended as a basic level course. Participants should expect that additional skill building will be needed before they will be prepared to conductNRDA’s independently.  Objectives:  At the completion of the course the participant should be able to: • Define basic terms as intended in the DOI NRDAR Regulations;• Use the NRDAR and OPA Regulations for guidance;• Describe how NRDAR fits into other CERCLA and OPA activities, particularly EPAs remediation process and oil spill response;• List and describe the basic steps of NRDAR as applied to CERCLA;• List and describe the basic steps of NRDAR as applied to OPA;• Describe the legal foundations for NRDAR including trusteeship;• Describe the role of the trustee council in the NRDAR process;• Consider cultural differences when working with tribes;• Describe the steps involved in injury assessment;• Describe the steps involved in quantifying natural resource service losses (damage assessment);• Describe how the damage assessment process differs for an oil spill relative to a CERCLA site;• Discern between a “natural resource injury” and other types of environmental harms;• Describe the role of economics and economic tools in NRDAR;• Conceptually describe what types of restoration are appropriate for NRDAR.Target Audience:  Personnel from natural resource trustee agencies (Federal, state, and tribes) whose responsibilities include evaluating and participating in theNRDAR process. Due to the legal sensitivity of some cases discussed, this course is not open to the private sector.",Conservation Policy
97,ALC3171,Introduction to Structured Decision Making,"This course provides participants with an introduction to structured decision making in the context of natural resource management problems. A solid foundation in structured decision making begins with knowledge of current practices, theory, and noteworthy case studies from FWS and USGS. Progressing from that foundation, you will get hands-on experience using various decision tools including, decision trees, multiple objective ranking techniques, and expert panels. This course gives you the skills to develop structured approaches in order to make a complicated decision making process more explicit, transparent, and clear. You will learn practical approaches to critical thinking, logic, reasoning, and structuring decisions that support your day-to-day work.  It is recommended that participants have an understanding of conservation biology concepts or have taken the NCTC course, “Applied Landscape- Scale Conservation Biology” (CSP2101), or at least one college course in conservation biology. Participants are not required to be skilled in mathematics or computing, although familiarity with how the results of models can be applied is beneficial.  Objectives: Participants will be able to:  • Articulate the fundamental tenets of decision analysis and current practices within FWS/USGS. • Diagram decision problems, decompose complex problems, create objectives, and select a problem solving approach.  • Select the appropriate decision making tool for different types of situations and problems. • Identify structured decision making practices that are feasible and beneficial to incorporate in your everyday work.  Target Audience: The target audience is FWS and USGS biologists (GS 9-11-12) and managers (GS 13-14) who have a tie to making decisions or have the responsibility to prepare materials for decision makers on natural resource issues and projects. This intent of the course is to provide an introductory treatment of structured decision making to those without such background or experience.",Decision Analysis
98,CSP3123,Pre-Deployment Orientation Deepwater Horizon Oil Spill Response,"The purpose of this course is to give you the information you need to serve as a member of the Wildlife Reconnaissance and Recovery group asyou rescue oiled wildlife or the Resource Advisor (READ) group as you protect sensitive lands in the Gulf. Objectives:By the end of this course, the participant will be qualified to serve as a Resource Advisor (READ) to protect sensitive landsassociated with the Deepwater Horizon Oil Spill response efforts. Target Audience: Biologists and archeologists who will be deployed to the Deepwater Horizon Oil Spill response efforts.",Safety and Emergency Response
99,CSP1150,Introduction to Fish Health,"This course is a beginning level, introductory program that familiarizes participants with the signs, causes, control and prevention of infectious and noninfectious fish diseases. Objectives: By the end of this session, the participant will be able to: • Recognize and identify the external or gross signs of the more common fish diseases and parasites; • Stain slides for preliminary identification of common disease organisms; • Isolate and culture some disease organisms; • Calculate dosages or treatment levels; • Properly care for and package moribund or dead fish as specimens for shipment to diagnostic laboratories; and • Describe the causes and effects of fish diseases. Target Audience: This course is designed for fisheries biologist, hatchery managers, fish health biologist, or wildlife biologist interested in fish health techniques.",Aquatic Species Biology and Conservation
100,CSP3156B,Modeling Principles for Natural Resources Management (Intermediate Track),"Target Audience: Biologists and resource managers who are seeking to gain model-building skills to inform research and decision-making in natural resource management. Participants are not required to be highly skilled in mathematics or computing, although familiarity with spreadsheets and how the results of models can be applied is beneficial. Summary and Objectives: This is a fun, engaging, and challenging on-line course based on Dr. Anthony Starfield's Principles of Modeling for Conservation Planning and Analysis. Participants will learn about the modeling process, how to think like a modeler, and how modeling fits into management decision-making. Participants will develop practical skills on building and communicating about models. The class covers a variety of modeling techniques applicable to resource management and conservation issues. Session topics include Introduction to Modeling and Spreadsheets (e.g. context, sensitivity analysis, assumption analysis, and mechanics), Population Modeling, Decision Analysis, Ecosystem Modeling, Spatially Explicit Models, and the use of models in making conservation decisions. On-line presentations, discussion, and exercises emphasize hands-on experience with building spreadsheet models to illustrate the values, limitations, and appropriate applications of models. The typical weekly format consists of video lectures and spreadsheet modeling tutorial/exercise, homework on tutorial model, posting to a discussion board, and a virtual classroom meeting to debrief homework and present team model challenge results. The course schedule runs over a 15 week time span (with one week off). Instructors and coaches will have virtual office hours weekly. This course was developed in collaboration between the Bureau of Land Management, National Training Center, the U.S. Fish and Wildlife Service, National Conservation Training Center, and the Vermont Cooperative Fish and Wildlife Research Unit. Course topics are similar to CSP3156a, except that participants work in teams on weekly modeling challenges. Weekly modeling challenges are questions within the context of natural resource management and require model building from the bottom up. Teams present their model results in weekly virtual classrooms. Modeling challenges require several hours per week more than those needed for successful completion of CSP3156a. Participants should be prepared to work an average of 10 - 15 hours per week.  Upon completion of this course, participants will be able to: Discover how to use models in planning for ecological and conservation biology decisions with defensible results. • Describe the modeling process, terminology, use of deterministic and stochastic models, what to leave out of a model, scale and resolution, • age or state structured models, and how to deal with uncertainty in making conservation decisions. Build more advanced modeling skills. • Use decision trees, approach decision-analysis under uncertainty, and incorporate a pragmatic modeling approach to data collection • methods and data analysis. Design management-oriented modeling frameworks, qualitative models, and determine where GIS can be useful. •",Statistics and Modeling
101,DOI-SUPV-OLT-105,Managing Employee Performance,"As a supervisor, you have a number of performance management responsibilities for your employees. You should work with employees to develop,implement, and update performance plans; monitor employees’ performance; and conduct progress reviews. You are also responsible forconducting annual appraisals and rewarding, recognizing, or taking corrective actions as appropriate.  This on-line course is designed to teach youthe basics of these responsibilities, as well as give you an opportunity to practice some of the skills. This course is a prerequisite for the'BLM/FWS/NPS Supervisory Skills Workshop' and the 'One DOI Supervisory Course' and as such, should be taken before attending thoseresidential courses.",Leadership and Supervision
102,LED5030,Inspiring Leadership through Emotional Intelligence,"Please be aware that when this course is offered at NCTC, it is always offered back to back with either the 2 day Crucial Conversations course or the 2 day Leading At The Speed Of Trust course. As long as you are on campus attending this 2 day course, it is suggested that you attend a second course as well.  Great leaders are able to recognize emotions as they arise in response to an action or situation. As a result, they are better able to address problems and handle any future complications. They also establish meaningful connections, allowing them to enhance and expand relationships which lead to better results. Emotional Intelligence (EQ) is an essential beginning to sustained, desired change for individuals, teams, organizations. This in-depth and experiential course based on the Six Seconds EQ © model will help increase your mastery of emotional intelligence to further develop your own leadership effectiveness as you gain new tools to apply immediately in the workplace. Emotional intelligence refers to the ability to recognize and regulate emotions in ourselves and others through three key elements: self-awareness, self- management, and self-direction.  Course Objectives: Using the Six Seconds © model, participants will: • Discuss and explore Self-Awareness as the foundational pursuit of EQ. Hands on, process oriented activity to further develop self-awareness and relate to your role as a leader. • Understand the neuroscience behind emotional intelligence and how to use the Six Second Pause © to shift out of reaction. • Enhance Emotional Literacy - engage in activities designed to expand on the concept that naming and claiming an emotion allows the brain and body to relax and deal with a challenging emotion. • Understand and demonstrate its impact on your work as a leader. • Recognize Patterns – discover and engage the reoccurring patterns of behavior that impact the choice of actions. • Discuss and explore self-management as the 2nd pursuit in the Six Seconds © model of EQ. • Apply Consequential Thinking - understand and apply consequential thinking by developing a series of powerful questions that relate to the emotional costs and benefits of a choice. • Intrinsic Motivation - develop awareness of intrinsic and extrinsic factors that drive us to make a variety of choices. • Navigate Emotions - learn to apply the Validate/Explore/Transform model of making a decision based on honoring and navigating your emotional landscape with awareness and clarity. • Exercise Optimism - learn and apply the model of optimism as presented by many researchers in the field. • Give Yourself - discuss and explore self-direction in the Six Seconds © model of EQ. • Increase Empathy - understand the concepts of empathy and engage with others to explore and practice empathic responses as a leader. • Pursue Noble Goals - increase a commitment to a vision of a purpose driven relationship with self and understand the benefits to the partners and staff that you work with.  Target Audience: All Employees.",Leadership and Supervision
103,CSP2201,Principles and Techniques of Electrofishing,"Target Audience: Aquatic biologists that use electrofishing as a sampling or collecting tool. Summary and Objectives: This class builds knowledge and skills that will enable biologists to increase the standardization and efficiency of electrofishing sampling while operating in a safer manner. Participants learn how to apply electrical circuit and field concepts to various challenges related to sampling, equipment performance, selection of suitable equipment, equipment trouble-shooting, fish injury, and safety. Upon completion of this course, participants will be able to: • improve standardized sampling and efficiency by developing power/power density goal settings (power and electric field standardization), manipulating waveform attributes (type, frequency, duty cycle, voltage, etc.), evaluating electrode design and placement; and incorporating efficiency factors in sampling designs; evaluate equipment by estimating effective operating range across water conductivities based on equipment specifications, electrode • resistance, and power required for successful electrofishing; • evaluate equipment by considering waveform control, metering, and safety features; operate electrofishing equipment safely; • develop a safety program for staff; • use a fish injury risk model to assess and minimize electrofishing-induced fish injury; • evaluate the usefulness of catch per unit effort data to detect trends; • • describe a process to estimate capture probabilities and then to use these estimates to adjust catch per effort data to abundance estimates; and • understand and apply concepts presented in the electrofishing literature.",Aquatic Species Biology and Conservation
104,CLM8196,Congressional Operations Seminar,"The Congressional Operations Seminar provides a tremendous opportunity to observe live House and Senate floor action, to attend Congressional hearings, to meet with Congressional members and their staff, and to gain a better understanding of the FWS authorization, appropriation, and budget processes. This seminar explores various aspects of Congress, Congressional processes and procedures, and how they affect daily FWS operations. To give first-hand understanding of federal law making and 'Congressional culture,' this course is conducted on Capitol Hill where participants hear from and ask questions of: Congressional members and their staffs, political scientists, lobbyists, the media, and FWS legislative affairs and budget office personnel.  OBJECTIVES: At the end of this seminar, participants will be able to: • Describe House and Senate floor procedures; • Describe the procedure that is used for a bill to become a law; • Describe the appropriations process as it relates to the USFWS; • Describe the internal USFWS budget processes, • Describe the role of the OMB in the USFWS budget process; • Describe the role lobbyists play in the legislation process as it pertains to natural resources; • Describe the role of the USFWS Congressional Affairs offices; and • Differentiate between lobbying and providing information to Members of Congress.  TARGET AUDIENCE: FWS employees who deal with Congressional Offices and their staffs or those who, as part of their jobs, need to understand how Congress operates. Open to FWS employees only.",Communications
105,CSP1105,Ecology and Conservation of North American Crayfishes,"This is an introductory course on the biology, ecology and conservation of freshwater crayfishes. Topics to be covered include conservation status,basic biology and ecology, identification, sampling methods (quantitative and qualitative), conservation measures, and impacts and control ofinvasive species. This course will address key characters for identification of freshwater crayfishes and will provide opportunities in the field andlaboratory to practice with genus and species level identification, however; this is NOT solely a crayfish identification course.OBJECTIVES:Upon completion of this course, participants will be able to:Describe the biology and ecology of freshwater crayfishesList the causes of population declines in North AmericaDescribe the impacts of invasive species on native crayfish populationsSurvey for freshwater crayfishes using standardized field methods and sampling protocolsIdentify crayfishes to the genus level (and some species)TARGET AUDIENCE:Anyone who works with freshwater crayfishes but has little formal knowledge of their biology.",Aquatic Species Biology and Conservation
106,SAF4A0P-UDT,Airboat Operator Module Practical (UDT),"The ABM is an entry-level course on airboat operation. Completion of the MOCC is a prerequisite for the ABM. At least 40 hours of on-boardsupervised airboat operating time is required before DOI personnel are allowed to operate an airboat independently. Airboat operation must bedocumented on FWS Form 3-2238 and signed by the operator and the Project Leader/Supervisor.Objectives:A. Understand the operating principles of an airboatB. Understand the control panel and state the purpose of each gaugeC. Identify and describe each part of an airboatD. Perform a pre-trip safety inspectionE. Demonstrate how to start, stop, and turn in both shallow and deep waterF. Operate an airboat at minimum and optimal cruising speedsG. Demonstrate docking, beaching, and loading/unloading an airboatLength: The ABM Practical is a minimum of 40 hours under the on-board supervision of an airboat operator who has at least 40 hours of airboatoperation time and a thorough knowledge of the airboat(s) being operated and area(s) of operation.Minimum Subject Areas:A. Assessing RiskB. Airboat FeaturesC. Operating InstructionsD. General MaintenanceE. Pre-Flight Safety InspectionF. Collision AvoidanceG. Shallow and Deep EnvironmentsH. Launching, Retrieving and LoadingI. Problem solvingJ. Underway Skills",Safety and Emergency Response
107,CSP3210,Applied Fluvial Geomorphology,"All non-FWS participants, including DOI agencies, must register through Wildland Hydrology (Phone: 970/568-0003).  This introductory course is designed to familiarize students with the fundamentals of river behavior, the general principles of: fluvial geomorphology, sedimentation, hydraulics, restoration, fish habitat improvement, riparian grazing management, and stream bank erosion. Applications of these principles are presented utilizing a stream classification system. Problem solving techniques for watershed management, riparian assessment, fish habitat structure evaluation, stream restoration, non-point source pollution and the integration of ecosystem concepts into watershed management are taught. A combination of both lecture and field applications are provided.  Prerequisite: CSP3200 Stream Habitat Measurement Techniques  Objectives: • Discuss geomorphology and the role of the river including discharge and flood frequency, meander geometry/channel dimension and pattern, riffle/pool relations, bankfull discharge, and valley morphology; • Perform extrapolation and prediction of hydrologic characteristics including hydraulic geometry relations, basin character/discharge relations, and channel morphology as predictors; Discuss sedimentation including role of sediment-aggradation/degradation processes, bedload/suspended load relations, sediment • rating curves, stream flow relations to sediment size and load, and analysis and prediction; Determine and define stream classification including purpose of classification, delineation criteria, influences, interpretations of stream • types, and applications such as Manning’s roughness and riparian management guidelines; • Analyze watershed management implications including cumulative effects procedures (HYSED, WRENS, etc.), stream threshold concepts and procedures, and streamside management guidelines. Target Audience: Field staff involved in stream habitat assessment and restoration. This course is a pre-requisite to the CSP3310 River Morphology & Applications -Level II course. *NOTE: Only USFWS Employees may enroll through DOI Talent for this course, all others must enroll directly through Wildland Hydrology, www.wildlandhydrology.com",Habitat Assessment Restoration and Management
108,ALC3194,Scenario Planning Toward Climate Change Adaptation,"Scenario planning is a valuable decision support method for integrating irreducible and uncontrollable uncertainties into climate change adaptationand other planning in natural resource management. This overview course will introduce the core elements of scenario planning and exposeparticipants to a diversity of approaches and specific scenario development techniques that incorporate both qualitative and quantitativecomponents. Participants will learn how scenario planning can be integrated into planning frameworks and be complementary with other decisionsupport methods. This course will provide participants with the skills needed to assess the appropriateness of scenario planning for their needs,and identify the resources and expertise needed to conduct a scenario planning exercise that will meet established objectives. The course isdeveloped in partnership with the Wildlife Conservation Society and the U.S. Geological Survey. Objectives: At the conclusion of this course, participants should be able to: - Describe basic steps and appropriate uses of scenario planning;-Navigate the many approaches and understand their application.- Construct situation-appropriate qualitative scenarios using a few scenario development techniques; and- Outline considerations for moving from qualitative to quantitative scenarios.-  Assess objectives, goals, and strategies across multiple scenarios, and articulate basic principles for using this approach to select managementoptions Integrate scenario planning into structured decision making processes.- Develop monitoring plans and decision timelines, and determine triggers for future decisions.Target Audience: Natural resource managers, conservation professionals, and planners. A basic understanding of climate change concepts andscience is recommended and may be acquired through pre-course materials. No previous exposure to Scenario Planning or any other decisionsupport method is required.",Ecological Adaptation
109,CLM8136,Strategies and Tactics for the Experienced Conservation Negotiator,"O  T  This training course presents participants with advanced principles, skills, and techniques used in natural resource negotiation. The focus of the course is strategy development and effective management of negotiating teams. Previous negotiating experience and the Negotiation Skills for Conservation Professionals: Building a Foundation (CLM8135) course are prerequisites for this course. If you have not attended the prerequisite course, please consult with the course leader before registering. BJECTIVES: Upon completion of this course, participants will be able to: • Diagnose natural resource negotiations • Plan multi-party, long-term negotiations • Select, assemble, and lead an effective negotiation team • Obtain and apply technical information in a negotiation process • Successfully lead a negotiating team • Apply negotiation strategies to a variety of management situations • Coach others in the negotiation process ARGET AUDIENCE:  Government employees who are engaged in natural resource negotiations including landscape conservation cooperatives, biologists, and project leaders.",Communications
110,CSP3174,Natural Channel Design Review Methodology,"This course provides training to individuals to effectively review stream restoration designs developed using the natural channel design (NCD)methodology. A combination of lecture, field sessions, and classroom exercises will provide practical experiences in the review of NCD streamrestoration projects.OBJECTIVES: Provide a general overview of fluvial principles and processes to include: hydrology and hydraulics; sediment transport; hydrology, hydraulics, andsediment models; and topics in geomorphology, such as watershed/landscape processes, stream stability, bankfull discharge, and physical habitat. Provide a general overview of restoration objectives and methods to include: objective setting; watershed restoration and management; NCDmethodology; restoration and stabilization techniques and structures; and monitoring. Provide instruction on the use of an assessment and design review checklist, including a classroom exercise with an example of a NCD streamrestoration. Visit completed stream restoration projects to discuss the application of the NCD methodology.TARGET AUDIENCE:  Field staff involved in the development and review of stream restoration designs using the NCD methodology.",Habitat Assessment Restoration and Management
111,CSP3119,Pesticides and Fish and Wildlife Resources,"Pesticide effects to fish and wildlife resources will be explored through the use of classroom lectures, case studies and field exercises. An overview of the major types of pesticides that can affect fish and wildlife resources, typical routes of exposure, assessing potential risk and environmental fate of pesticides in terrestrial and aquatic systems will be presented. Additionally, Federal laws and policies related to pesticide use and principles of integrated pest management will be discussed. Participants will learn procedures to evaluate non-target effects and considerations for listed species. Emerging issues related to pollinator declines and genetically modified organisms will be reviewed. Useful references and information sources about pesticide safety and use and fish and wildlife risk will be provided.  Target Audience:  FWS staff, including endangered species biologists, refuge personnel, contaminant specialists, pesticide applicators, restoration biologists and law enforcement officials, as well as, other Federal, State and Non-government Organization (NGO) personnel, whose responsibilities include evaluating the legal and biological implications of pesticide applications.  Objectives:  Upon completion of this course, you will be able to:  Describe the fate and transport of pesticides in the environment; Describe Federal laws, FWS policies, and other authorities related to pesticide use; Describe exposure and effects of pesticides to non-target organisms, including threatened and endangered species and other trust resources; Apply basic principles of risk assessment as they relate to pesticides and possible interactions with fish and wildlife resources, and; Conduct a terrestrial and aquatic field investigation.",Habitat Assessment Restoration and Management
112,LED6072,Stepping Up to Leadership (SUTL),"NOTE: PARTICIPANTS IN THIS COURSE ARE SELECTED BY A MERIT SELECTION PROCESS WITHIN THE REGIONS. PLEASE DO NOT REGISTER ONLINE.  U. S. Fish and Wildlife Service (Service) employees currently in grades GS-11, 12 (including current Project Leaders) are encouraged to apply for nomination as participants in the Stepping Up to Leadership Program (Program). This program offers individuals the chance to improve their leadership skills through skill assessments, coaching, self-paced and group exercises, and developmental assignments. It is designed for aspiring mid-level managers. The program includes a two-week session targeting leadership competencies and a follow-up week after a six-month interim. The interim requires a commitment to work on your Individual Development Plan through developmental assignments, coaching, and team project work. Team project presentations occur during the one-week follow-up. Areas to be covered include interpersonal skills, communication skills, team process techniques, and balancing work and personal life.  Objectives: The course is designed to improve performance in thirteen different competencies of the Service's Leadership Development Guidance. The overall objectives can be roughly summarized as:  1. Articulate a personal vision of leadership; 2. Identify and integrate the Service's leadership competencies into personal development and career planning; and 3. Exhibit leadership behaviors that actively support the Service's mission.  Target Audience: Applicants in the GS-11 and GS-12 grade levels are chosen by the Regions based on a competitive merit selection process. For details, contact your regional personnel office, or check at Stepping Up",Leadership and Supervision
113,LED6176,Introduction to Team Leadership,"Everyone is responsible for some form of supervision, whether it's directing the actions of a few or many, and whether they are classified as a supervisor or not. This course is a general introduction to management where participants learn how to lead others, even if they don't have the authority of a supervisory position. Specific topics include establishing rapport and cultivating influence; achieving trust and building relationships; planning and organizing projects and resources; building and leading a team; solving problems and making decisions; and implementing change successfully. Objectives: •Handle responsibility and act with authority;•Effectively manage time and reduce stress;•Manage the day-to-day challenges of leading a team;•Use effective strategies for organizing projects and negotiating resources;•Apply problem-solving and decision-making skills to accomplish tasks; and•Create and implement change in your organization.Target Audience: Anyone who leads and manages others in accomplishing work.",Leadership and Supervision
114,CSP3130,"Advanced Plant ID: Grasses, Sedges, Rushes and Composites","A general Wetland Plant Identification course or equivalent knowledge is recommended but not required prior to taking this course. This interagency course is designed to improve the ability of field staff to identify specific groups of wetland plants using botanical manuals and other flora. Lectures discuss morphology, terminology and identification. Participants collect representative plants in the field and, back in the classroom, log them in using directed and individual keying exercises. The course is taught by instructors from the Fish and Wildlife Service, Environmental Protection Agency, Natural Resources Conservation Service and the Corps of Engineers. Objectives: Identify the major botanical terms and morphological characteristics of wetland grasses, sedges, rushes and members of the Compositae family; Use botanical keys, regional wetland floras, and electronic keys; Identify major representative wetland plants in wetland communities in the field; Observe wetland plants in the field and document observations; and Properly collect specimens for future identification and reference. Target Audience: Staff involved in wetland issues such as wetland identification and delineation, wetland restoration and enhancement, wetland mitigation, and wetland habitat management.",Habitat Assessment Restoration and Management
115,CSP3116 ,Interagency Consultation for Endangered Species ,"Target Audience: Primary U.S. Fish and Wildlife Service and National Marine Fisheries Service biologists responsible for conducting project review of potential impacts to listed, proposed, or candidate endangered species. Action agency biologists and consultants are welcome to attend. Summary and Objectives: Participants acquire basic information on conducting interagency consultation under Section 7 of the Endangered Species Act. Key information needs and procedures are addressed, with a focus on the information needs related to biological assessments and opinions. Lectures and discussions emphasize interagency exchange of information and solutions to support species conservation. Upon completion of this course, participants will be able to: •Discuss the components of interagency consultation and describe related requirements and procedures;•Describe the necessary information included in a biological assessment or opinion;•Describe and apply the ""may affect/no effect,"" ""jeopardy/no jeopardy,"" and ""adverse modification"" determination processes;•Describe the Section 7(a)(1) conservation obligation and give examples of national consultations; and •Explain the importance of Section 7 consultation in implementing the conservation mandates of the Endangered Species Act.Prerequisite: Endangered Species Act of 1973 - Overview (CSP3114). Note that if you enroll in this course you will be added to the wait list, but not enrolled, until you complete this prerequisite.",Conservation Policy
116,CSP1100,Coldwater Fish Culture,"Coldwater Fish Culture is an introductory course developed to explore all husbandry activities associated with coldwater fish culture. The curriculum follows the entire life cycle of a fish lot in a hatchery setting. Participants will explore the various techniques and calculations most often used in the aquaculture industry, including egg enumeration and handling, egg incubation, hatching methods, sac-fry care, managing fish from fry to catchable size, methods in brood stock management, and fish stocking. Participants will also investigate topics affecting fish behavior, including biological and environmental conditions, stress and pathogens, basic water chemistries, and various units used for egg incubation and fish rearing. Participants will calculate egg and fish inventories, determine rearing capacities, project fish growth, develop feed schedules, and understand the parameters affecting fish distribution and stocking. The course curriculum includes a balance of applied fisheries science and the practical art of fish culture.   Objectives: Upon completion of this course, participants will be able to: •Enumerate both green and eyed eggs;•Identify and accurately record critical data needed to complete a lot history form;•Complete an accurate sample count and inventory;•Calculate fish growth and project fish size;•Project a weekly feed ration;•Calculate and develop a 90-day feed order;•Calculate density and flow indexes and use them to predict when to thin a lot of fish;•Recognize the signs and causes of stress in fish; and•Describe the advantages and disadvantages of the various techniques, equipment, and rearing units used in coldwater fish culturethroughout the U.S.Target Audience: Fishery biologists, fish culturists, biological technicians, aquatic animal husbandry caretakers, and other non-supervisory hatchery employees with less than 5 years of work experience.",Aquatic Species Biology and Conservation
117,ALC3176,Adaptive Management: Structured Decision Making for Recurrent Decisions,"This course builds on the fundamental principles taught in “Introduction to Structured Decision Making” (ALC3171) by focusing on the important special case of recurrent decisions. Adaptive management is framed within the context of structured decision making, with an emphasis on uncertainty about responses to management actions and the value of reducing that uncertainty to improve management. The course explores the application of the Department of Interior’s operational definition of adaptive management, which characterizes adaptive management as an iterative learning process that produces improved understanding and management over time. Course content includes the 9 steps of adaptive management summarized in the Department’s Technical Guide: stakeholder involvement, management objectives, management alternatives, predictive models, monitoring plans, decision making, monitoring responses to management, assessment, and adjusting management actions. This course is quite technical, with special focus on model building, formal methods of learning through monitoring, and principles of optimization. Lecture concepts are reinforced with substantial exposure to case studies, as well as extensive hands-on lab exercises.  Student Requirements: Completion of 'Introduction to Structured Decision Making” or equivalent.  Objectives: Participants will be able to: • define adaptive management in the way that DOI does, and distinguish this definition from other competing interpretations; • recognize the conditions under which adaptive management could be applied; • describe the process of using adaptive management for managing natural resources; • design an adaptive management framework that appropriately involves stakeholders and other partners; • articulate the role of predictive models in adaptive management, and discern the qualities of a desirable set of alternative models; • understand how learning occurs in an adaptive context, and identify the critical aspects of a monitoring program that supports adaptive management; • understand the role of optimization in adaptive management and work with a technical consultant to interpret and evaluate optimal management strategies; • appreciate the legal and institutional challenges to implementing adaptive management and develop strategies to overcome them  Target Audience: Biologists and managers in FWS and scientists in USGS who have basic experience with structured decision making and/or have completed the “Introduction to Structured Decision Making” course ALC3171. Participants should be comfortable with the use of computer programs such as Excel.",Decision Analysis
